+ch, element, lt = 55 0 766.453
+ch, element, lt = 55 1 657.22
+ch, element, tt = 55 0 762.581
+ch, element, tt = 55 1 655.179
+ch, element, lt = 56 0 737.22
+ch, element, lt = 56 1 726.521
+ch, element, lt = 56 2 685.918
+ch, element, tt = 56 0 733.902
+ch, element, tt = 56 1 722.572
+ch, element, tt = 56 2 683.092
+ch, element, lt = 57 0 1871.6
+ch, element, lt = 57 1 1508.31
+ch, element, lt = 57 2 839.384
+ch, element, tt = 57 0 1803.71
+ch, element, tt = 57 1 1466.21
+ch, element, tt = 57 2 798.064
+ch, element, lt = 59 0 1014.65
+ch, element, lt = 59 1 755.414
+ch, element, lt = 59 2 741.172
+ch, element, lt = 59 3 731.472
+ch, element, tt = 59 0 994.355
+ch, element, tt = 59 1 753.447
+ch, element, tt = 59 2 737.932
+ch, element, tt = 59 3 727.297
+ch, element, lt = 61 0 2013.79
+ch, element, tt = 61 0 1985.81
+ch, element, lt = 62 0 2339.32
+ch, element, lt = 62 1 717.917
+ch, element, lt = 62 2 690.402
+ch, element, lt = 62 3 238.938
+ch, element, tt = 62 0 2329.6
+ch, element, tt = 62 1 716.904
+ch, element, tt = 62 2 688.64
+ch, element, tt = 62 3 219.211
+ch, element, lt = 63 0 2156.42
+ch, element, tt = 63 0 2127.6
+ch, element, lt = 0 0 2512.48
+ch, element, lt = 0 1 2484.85
+ch, element, lt = 0 2 2450.68
+ch, element, lt = 0 3 2433.56
+ch, element, lt = 0 4 2389
+ch, element, lt = 0 5 2372.03
+ch, element, lt = 0 6 2310.29
+ch, element, lt = 0 7 2293.18
+ch, element, lt = 0 8 2248.62
+ch, element, lt = 0 9 2231.45
+ch, element, lt = 0 10 2214.25
+ch, element, lt = 0 11 2169.91
+ch, element, lt = 0 12 2152.6
+ch, element, lt = 0 13 2107.98
+ch, element, lt = 0 14 2090.78
+ch, element, lt = 0 15 2073.86
+ch, element, tt = 0 0 2516.24
+ch, element, tt = 0 1 2498.93
+ch, element, tt = 0 2 2488.64
+ch, element, tt = 0 3 2471.68
+ch, element, tt = 0 4 2454.7
+ch, element, tt = 0 5 2437.29
+ch, element, tt = 0 6 2427.11
+ch, element, tt = 0 7 2420.19
+ch, element, tt = 0 8 2410.03
+ch, element, tt = 0 9 2392.84
+ch, element, tt = 0 10 2375.69
+ch, element, tt = 0 11 2358.55
+ch, element, tt = 0 12 2348.32
+ch, element, tt = 0 13 2330.95
+ch, element, tt = 0 14 2314.21
+ch, element, tt = 0 15 2296.84
+ch, element, lt = 1 0 2521.69
+ch, element, lt = 1 1 2433.07
+ch, element, lt = 1 2 2331.97
+ch, element, lt = 1 3 2280.3
+ch, element, lt = 1 4 2216.18
+ch, element, lt = 1 5 2208.87
+ch, element, lt = 1 6 2164.5
+ch, element, lt = 1 7 2139.91
+ch, element, lt = 1 8 2051.03
+ch, element, lt = 1 9 1987.1
+ch, element, lt = 1 10 1923
+ch, element, lt = 1 11 1898.45
+ch, element, lt = 1 12 1834.49
